"scriptName","agreeCount","author","type"
"Smart Money Concepts (SMC) [LuxAlgo]","132591","LuxAlgo","study"
"Squeeze Momentum Indicator [LazyBear]","110994","LazyBear",
"MacD Custom Indicator-Multiple Time Frame+All Available Options!","78280","ChrisMoody",
"SuperTrend","72608","KivancOzbilgic","study"
"CM_Williams_Vix_Fix  Finds Market Bottoms","62806","ChrisMoody",
"Indicator: WaveTrend Oscillator [WT]","58011","LazyBear",
"Support and Resistance Levels with Breaks [LuxAlgo]","53311","LuxAlgo","study"
"Market Structure Break & Order Block by EmreKb","50552","EmreKb","study"
"UT Bot Alerts","46973","QuantNomad","study"
"Trendlines with Breaks [LuxAlgo]","45239","LuxAlgo","study"
"Bollinger + RSI, Double Strategy (by ChartArt) v1.1","44654","ChartArt",
"ICT Killzones + Pivots [TFO]","44515","tradeforopp","study"
"ADX and DI","44162","BeikabuOyaji","study"
"Swing high low support & resistance","41157","Patternsmart","study"
"Support Resistance Channels","40685","LonesomeTheBlue","study"
"LuxAlgo® - Signals & Overlays™","40200","LuxAlgo","study"
"TMA Overlay","36449","ArtyFXC","study"
"Ultimate Moving Average-Multi-TimeFrame-7 MA Types","35534","ChrisMoody",
"Support and Resistance (High Volume Boxes) [ChartPrime]","34420","ChartPrime","study"
"Order Block Finder (Experimental)","34130","wugamlo","study"
"Candlestick Patterns Identified (updated 3/11/15)","32750","repo32","study"
"Order Block Detector [LuxAlgo]","32616","LuxAlgo","study"
"Machine Learning: Lorentzian Classification","32479","jdehorty","study"
"Fibonacci Bollinger Bands","31907","Rashad",
"Sessions [LuxAlgo]","31820","LuxAlgo","study"
"Liquidity Swings [LuxAlgo]","31201","LuxAlgo","study"
"Nadaraya-Watson Envelope [LuxAlgo]","30982","LuxAlgo","study"
"GainzAlgo Suite","29899","GainzAlgo","study"
"CM Sling Shot System","29144","ChrisMoody",
"MACD + SMA 200 Strategy (by ChartArt)","29014","ChartArt",
"Divergence for Many Indicators v4","28489","LonesomeTheBlue","study"
"Machine Learning Adaptive SuperTrend [AlgoAlpha]","28122","AlgoAlpha","study"
"Madrid Moving Average Ribbon","27848","Madrid","study"
"LuxAlgo® - Price Action Concepts™","27841","LuxAlgo","study"
"LuxAlgo® - Price Action Concepts™","27840","LuxAlgo","study"
"FVG (Nephew_Sam_)","27630","nephew_sam_","study"
"CM_Price-Action-Bars-Price Patterns That Work!","27294","ChrisMoody",
"Pivot Point Supertrend","27081","LonesomeTheBlue","study"
"Chandelier Exit","26546","everget","study"
"Support Resistance - Dynamic v2","26508","LonesomeTheBlue","study"
"AlphaTrend","26445","KivancOzbilgic","study"
"SuperTrend AI (Clustering) [LuxAlgo]","26196","LuxAlgo","study"
"Trend Lines v2","26169","LonesomeTheBlue","study"
"Breakout Finder","26022","LonesomeTheBlue","study"
"Breakout Probability (Expo)","25584","Zeiierman","study"
"Volume Flow Indicator [LazyBear]","25437","LazyBear",
